"cardPair","coOccurrences","winsTogether","winRate"
"Sneaky + Survivor",3,3,100.0
"Flanking + Survivor",8,8,100.0
"Acrobatics + Follow Through",3,3,100.0
"Precise Cut + Prepared",4,4,100.0
"Precise Cut + Tactician",3,3,100.0
"Acrobatics + Precise Cut",3,3,100.0
"Deflect + Precise Cut",3,3,100.0
"Backstab + Burst",3,3,100.0
"Flick Flack + Sneaky",4,4,100.0
"Flanking + Flick Flack",5,5,100.0
"Prepared + Sneaky",5,5,100.0
"Flanking + Prepared",12,12,100.0
"Finisher + Prepared",4,4,100.0
"Sneaky + Tactician",4,4,100.0
"Flanking + Tactician",7,7,100.0
"Finisher + Tactician",3,3,100.0
"Burst + Tactician",3,3,100.0
"Piercing Wail + Sneaky",6,6,100.0
"Flanking + Piercing Wail",16,16,100.0
"Accuracy + Piercing Wail",5,5,100.0
"Finisher + Piercing Wail",5,5,100.0
"Flanking + Sneaky",5,5,100.0
"Acrobatics + Sneaky",7,7,100.0
"Deflect + Sneaky",3,3,100.0
"Blade Dance + Flanking",11,11,100.0
"Acrobatics + Gang Up",3,3,100.0
"Accuracy + Flanking",4,4,100.0
"Acrobatics + Flanking",13,13,100.0
"Finisher + Flanking",4,4,100.0
"Deflect + Flanking",8,8,100.0
"Flanking + Tools Of The Trade",3,3,100.0
"Flanking + Flanking",3,3,100.0
"Accuracy + Deflect",4,4,100.0
"Acrobatics + Finisher",5,5,100.0
"Acrobatics + Expertise",3,3,100.0
"Deflect + Finisher",3,3,100.0
"Bodyguard + Putrefy",3,3,100.0
"Putrefy + Unleash",3,3,100.0
"Defy + Putrefy",3,3,100.0
"Defy + Drain Power",6,6,100.0
"Hang + Negative Pulse",6,6,100.0
"Negative Pulse + No Escape",6,6,100.0
"Believe In You + Negative Pulse",6,6,100.0
"Negative Pulse + Parse",6,6,100.0
"Negative Pulse + Putrefy",9,9,100.0
"Hang + Sleight Of Flesh",3,3,100.0
"Sleight Of Flesh + Times Up",3,3,100.0
"Sleight Of Flesh + Sleight Of Flesh",3,3,100.0
"Believe In You + Sleight Of Flesh",3,3,100.0
"Parse + Sleight Of Flesh",3,3,100.0
